start,end,duration (mins)
Bergen St,Bowery,38.19666666666667
Bergen St,Clark St,9.21
Bergen St,York St,7.233333333333333
Bergen St,High St,12.321666666666665
Bergen St,President St,19.301666666666666
Bergen St,Woodlawn,109.61999999999999
Bergen St,Bleecker St,39.083333333333336
Bergen St,Cortelyou Rd,29.025
Bergen St,Parkchester,82.88833333333334
Bergen St,Franklin St,39.29
Freeman St,Astor Pl,72.52
Freeman St,Canal St,79.86666666666666
Freeman St,Bergen St,86.27666666666667
Freeman St,Junction Blvd,76.40833333333333
Freeman St,Chauncey St,101.64
Freeman St,Union St,86.69166666666666
Freeman St,Pelham Pkwy,25.175
Freeman St,Gun Hill Rd,33.11833333333333
Freeman St,Simpson St,3.895
Freeman St,Bronx Park East,17.091666666666665
Freeman St,Winthrop St,100.72666666666667
Freeman St,Kingsbridge Rd,24.651666666666664
Freeman St,Prospect Park,98.89
Freeman St,Broadway,53.980000000000004
Freeman St,Lorimer St,81.49833333333332
Freeman St,Halsey St,92.25500000000001
Freeman St,Park Pl,85.21333333333334
Freeman St,Middletown Rd,28.601666666666667
Freeman St,Court Sq,60.62833333333333
Freeman St,Houston St,78.12833333333333
Freeman St,Broad Channel,146.5
Freeman St,Ocean Pkwy,129.81666666666666
Freeman St,Rockaway Blvd,112.14
Freeman St,Beverly Rd,104.075
Freeman St,Grand Army Plaza,84.14666666666668
Freeman St,Fulton St,85.905
Freeman St,Borough Hall,84.86333333333333
Freeman St,Aqueduct Racetrack,122.275
Freeman St,Morris Park,22.926666666666666
Freeman St,Nevins St,83.00500000000001
Freeman St,Sterling St,95.60666666666665
Freeman St,Hewes St,81.43666666666667
Freeman St,Grand St,75.655
Freeman St,Parsons Blvd,115.85333333333332
Freeman St,Pelham Bay Park,34.57333333333334
Freeman St,Woodhaven Blvd,104.96666666666667
Freeman St,Cleveland St,108.12833333333333
Freeman St,Junius St,110.39166666666667
Freeman St,Broadway Junction,104.345
Freeman St,Crescent St,103.25666666666666
Freeman St,Cypress Hills,101.61833333333334
Freeman St,Northern Blvd,61.833333333333336
Freeman St,Sutphin Blvd,113.52
Freeman St,Astoria Blvd,53.96
Freeman St,Fordham Rd,21.225
Freeman St,Bedford Park Blvd,22.858333333333334
Freeman St,Mosholu Pkwy,26.58833333333333
Freeman St,Botanic Garden,90.24499999999999
Freeman St,Dyckman St,33.684999999999995
Freeman St,Steinway St,59.98833333333334
Freeman St,Kosciuszko St,90.78
Freeman St,Jefferson St,88.88666666666667
Freeman St,Kings Hwy,115.72833333333332
Freeman St,Brighton Beach,132.00166666666667
Freeman St,Sheepshead Bay,131.49333333333334
Freeman St,Neck Rd,125.91166666666666
Freeman St,Chambers St,85.48666666666666
Freeman St,East Broadway,79.82333333333332
Freeman St,Court St,84.125
Freeman St,Carroll St,89.42833333333333
Freeman St,Spring St,76.68666666666667
Freeman St,Prince St,75.34833333333333
Freeman St,Hoyt St,81.45
Freeman St,City Hall,83.58
Freeman St,South Ferry,132.095
Freeman St,Bowling Green,83.76166666666667
Freeman St,Wall St,83.94
Freeman St,Whitehall St,81.365
Freeman St,Rector St,89.03833333333334
Freeman St,Fresh Pond Rd,91.125
Freeman St,Broad St,91.82666666666667
Freeman St,Bowery,75.875
Freeman St,Clark St,80.72
Freeman St,York St,78.01333333333334
Freeman St,High St,86.11
Freeman St,President St,92.3
Freeman St,Woodlawn,30.336666666666666
Freeman St,Bleecker St,74.84166666666667
Freeman St,Cortelyou Rd,102.07166666666667
Freeman St,Parkchester,17.44333333333333
Freeman St,Franklin St,82.99499999999999
Junction Blvd,Astor Pl,62.215
Junction Blvd,Canal St,62.23166666666667
Junction Blvd,Bergen St,67.675
Junction Blvd,Freeman St,76.86833333333334
Junction Blvd,Chauncey St,45.14666666666667
Junction Blvd,Union St,66.885
Junction Blvd,Pelham Pkwy,91.46000000000001
Junction Blvd,Gun Hill Rd,99.40333333333334
Junction Blvd,Simpson St,73.30833333333334
Junction Blvd,Bronx Park East,84.36333333333333
Junction Blvd,Winthrop St,67.72
Junction Blvd,Kingsbridge Rd,92.31
Junction Blvd,Prospect Park,72.70333333333333
Junction Blvd,Broadway,25.55
Junction Blvd,Lorimer St,43.92166666666667
Junction Blvd,Halsey St,37.195
Junction Blvd,Park Pl,66.12666666666667
Junction Blvd,Middletown Rd,84.46333333333334
Junction Blvd,Court Sq,32.39666666666667
Junction Blvd,Houston St,64.84166666666667
Junction Blvd,Broad Channel,89.35
Junction Blvd,Ocean Pkwy,107.18333333333334
Junction Blvd,Rockaway Blvd,47.30333333333333
Junction Blvd,Beverly Rd,71.34333333333333
Junction Blvd,Grand Army Plaza,62.138333333333335
Junction Blvd,Fulton St,66.81833333333333
Junction Blvd,Borough Hall,67.30833333333334
Junction Blvd,Aqueduct Racetrack,59.44833333333334
Junction Blvd,Morris Park,89.21166666666666
Junction Blvd,Nevins St,63.19833333333334
Junction Blvd,Sterling St,63.056666666666665
Junction Blvd,Hewes St,43.93666666666666
Junction Blvd,Grand St,57.391666666666666
Junction Blvd,Parsons Blvd,41.975
Junction Blvd,Pelham Bay Park,90.435
Junction Blvd,Woodhaven Blvd,40.13
Junction Blvd,Cleveland St,47.163333333333334
Junction Blvd,Junius St,60.031666666666666
Junction Blvd,Broadway Junction,49.25333333333333
Junction Blvd,Crescent St,42.54666666666667
Junction Blvd,Cypress Hills,40.068333333333335
Junction Blvd,Northern Blvd,15.996666666666666
Junction Blvd,Sutphin Blvd,40.68333333333333
Junction Blvd,Astoria Blvd,27.709999999999997
Junction Blvd,Fordham Rd,89.40166666666667
Junction Blvd,Bedford Park Blvd,95.29666666666667
Junction Blvd,Mosholu Pkwy,98.655
Junction Blvd,Botanic Garden,64.97666666666666
Junction Blvd,Dyckman St,88.88333333333334
Junction Blvd,Steinway St,23.3
Junction Blvd,Kosciuszko St,41.248333333333335
Junction Blvd,Jefferson St,36.88
Junction Blvd,Kings Hwy,100.78666666666666
Junction Blvd,Brighton Beach,105.955
Junction Blvd,Sheepshead Bay,99.78666666666666
Junction Blvd,Neck Rd,94.48166666666665
Junction Blvd,Chambers St,67.325
Junction Blvd,East Broadway,57.06333333333334
Junction Blvd,Court St,63.80333333333333
Junction Blvd,Carroll St,70.51833333333335
Junction Blvd,Spring St,60.333333333333336
Junction Blvd,Prince St,60.285
Junction Blvd,Hoyt St,62.098333333333336
Junction Blvd,City Hall,65.925
Junction Blvd,South Ferry,123.61333333333333
Junction Blvd,Bowling Green,70.58500000000001
Junction Blvd,Wall St,67.99333333333333
Junction Blvd,Whitehall St,69.355
Junction Blvd,Rector St,69.74499999999999
Junction Blvd,Fresh Pond Rd,32.434999999999995
Junction Blvd,Broad St,72.10833333333333
Junction Blvd,Bowery,59.526666666666664
Junction Blvd,Clark St,64.945
Junction Blvd,York St,58.66166666666666
Junction Blvd,High St,66.435
Junction Blvd,President St,60.891666666666666
Junction Blvd,Woodlawn,102.31666666666666
Junction Blvd,Bleecker St,60.794999999999995
Junction Blvd,Cortelyou Rd,77.60666666666665
Junction Blvd,Parkchester,75.62833333333333
Junction Blvd,Franklin St,65.77666666666667
Chauncey St,Astor Pl,46.718333333333334
Chauncey St,Canal St,46.735
Chauncey St,Bergen St,33.80833333333333
Chauncey St,Freeman St,100.82166666666667
Chauncey St,Junction Blvd,43.86
Chauncey St,Union St,31.78666666666667
Chauncey St,Pelham Pkwy,115.36999999999999
Chauncey St,Gun Hill Rd,123.31333333333333
Chauncey St,Simpson St,97.26166666666667
Chauncey St,Bronx Park East,108.27333333333333
Chauncey St,Winthrop St,27.006666666666668
Chauncey St,Kingsbridge Rd,116.26333333333334
Chauncey St,Prospect Park,34.63333333333333
Chauncey St,Broadway,49.68
Chauncey St,Lorimer St,20.836666666666666
Chauncey St,Halsey St,8.653333333333334
Chauncey St,Park Pl,50.63
Chauncey St,Middletown Rd,108.37333333333332
Chauncey St,Court Sq,45.138333333333335
Chauncey St,Houston St,49.345
Chauncey St,Broad Channel,64.43166666666667
Chauncey St,Ocean Pkwy,65.385
Chauncey St,Rockaway Blvd,34.14833333333333
Chauncey St,Beverly Rd,30.63
Chauncey St,Grand Army Plaza,26.21333333333333
Chauncey St,Fulton St,51.32166666666667
Chauncey St,Borough Hall,37.695
Chauncey St,Aqueduct Racetrack,40.468333333333334
Chauncey St,Morris Park,113.12166666666667
Chauncey St,Nevins St,31.07
Chauncey St,Sterling St,23.291666666666668
Chauncey St,Hewes St,24.761666666666667
Chauncey St,Grand St,41.894999999999996
Chauncey St,Parsons Blvd,49.38
Chauncey St,Pelham Bay Park,114.345
Chauncey St,Woodhaven Blvd,27.015
Chauncey St,Cleveland St,11.635
Chauncey St,Junius St,13.706666666666667
Chauncey St,Broadway Junction,4.473333333333333
Chauncey St,Crescent St,15.72
Chauncey St,Cypress Hills,19.238333333333333
Chauncey St,Northern Blvd,43.193333333333335
Chauncey St,Sutphin Blvd,45.36
Chauncey St,Astoria Blvd,54.49166666666667
Chauncey St,Fordham Rd,113.355
Chauncey St,Bedford Park Blvd,119.25
Chauncey St,Mosholu Pkwy,122.60833333333333
Chauncey St,Botanic Garden,26.90666666666667
Chauncey St,Dyckman St,112.83666666666666
Chauncey St,Steinway St,47.43
Chauncey St,Kosciuszko St,11.031666666666666
Chauncey St,Jefferson St,17.103333333333335
Chauncey St,Kings Hwy,60.001666666666665
Chauncey St,Brighton Beach,64.15666666666667
Chauncey St,Sheepshead Bay,57.98833333333334
Chauncey St,Neck Rd,52.68333333333333
Chauncey St,Chambers St,51.82833333333333
Chauncey St,East Broadway,41.56666666666667
Chauncey St,Court St,37.62833333333333
Chauncey St,Carroll St,36.651666666666664
Chauncey St,Spring St,44.836666666666666
Chauncey St,Prince St,44.788333333333334
Chauncey St,Hoyt St,34.44833333333334
Chauncey St,City Hall,50.42833333333333
Chauncey St,South Ferry,103.98833333333333
Chauncey St,Bowling Green,55.08833333333334
Chauncey St,Wall St,52.49666666666667
Chauncey St,Whitehall St,53.858333333333334
Chauncey St,Rector St,54.248333333333335
Chauncey St,Fresh Pond Rd,16.015
Chauncey St,Broad St,56.611666666666665
Chauncey St,Bowery,44.03
Chauncey St,Clark St,39.37833333333333
Chauncey St,York St,37.81166666666666
Chauncey St,High St,42.95166666666667
Chauncey St,President St,21.28666666666667
Chauncey St,Woodlawn,126.27
Chauncey St,Bleecker St,45.29833333333333
Chauncey St,Cortelyou Rd,36.80833333333333
Chauncey St,Parkchester,99.53833333333334
Chauncey St,Franklin St,50.28
Union St,Astor Pl,41.394999999999996
Union St,Canal St,41.41166666666666
Union St,Bergen St,8.476666666666667
Union St,Freeman St,85.73
Union St,Junction Blvd,62.718333333333334
Union St,Chauncey St,30.71333333333333
Union St,Pelham Pkwy,100.27833333333334
Union St,Gun Hill Rd,108.22166666666666
Union St,Simpson St,82.17
Union St,Bronx Park East,93.18166666666666
Union St,Winthrop St,21.51833333333333
Union St,Kingsbridge Rd,101.17166666666667
Union St,Prospect Park,19.966666666666665
Union St,Broadway,55.638333333333335
Union St,Lorimer St,23.73166666666667
Union St,Halsey St,34.95
Union St,Park Pl,42.59
Union St,Middletown Rd,93.28166666666667
Union St,Court Sq,45.38166666666667
Union St,Houston St,44.02166666666667
Union St,Broad Channel,85.68666666666667
Union St,Ocean Pkwy,54.83833333333334
Union St,Rockaway Blvd,55.556666666666665
Union St,Beverly Rd,24.866666666666667
Union St,Grand Army Plaza,5.78
Union St,Fulton St,45.144999999999996
Union St,Borough Hall,13.136666666666667
Union St,Aqueduct Racetrack,62.038333333333334
Union St,Morris Park,98.03
Union St,Nevins St,6.246666666666667
Union St,Sterling St,16.791666666666668
Union St,Hewes St,23.025
Union St,Grand St,36.57166666666667
Union St,Parsons Blvd,77.98833333333333
Union St,Pelham Bay Park,99.25333333333333
Union St,Woodhaven Blvd,55.44166666666667
Union St,Cleveland St,39.891666666666666
Union St,Junius St,33.995
Union St,Broadway Junction,32.07
Union St,Crescent St,43.97666666666667
Union St,Cypress Hills,47.711666666666666
Union St,Northern Blvd,55.03333333333333
Union St,Sutphin Blvd,76.685
Union St,Astoria Blvd,58.38
Union St,Fordham Rd,98.26333333333334
Union St,Bedford Park Blvd,104.15833333333333
Union St,Mosholu Pkwy,107.51666666666667
Union St,Botanic Garden,14.018333333333334
Union St,Dyckman St,97.74499999999999
Union St,Steinway St,53.79
Union St,Kosciuszko St,23.821666666666665
Union St,Jefferson St,31.53166666666667
Union St,Kings Hwy,45.07166666666667
Union St,Brighton Beach,57.02333333333333
Union St,Sheepshead Bay,50.345
Union St,Neck Rd,45.08833333333334
Union St,Chambers St,46.505
Union St,East Broadway,36.24333333333333
Union St,Court St,13.07
Union St,Carroll St,7.651666666666667
Union St,Spring St,39.513333333333335
Union St,Prince St,39.465
Union St,Hoyt St,11.156666666666666
Union St,City Hall,43.965
Union St,South Ferry,86.71000000000001
Union St,Bowling Green,38.095
Union St,Wall St,38.27333333333333
Union St,Whitehall St,35.69833333333334
Union St,Rector St,43.65333333333333
Union St,Fresh Pond Rd,40.97833333333333
Union St,Broad St,46.44166666666667
Union St,Bowery,38.70666666666667
Union St,Clark St,16.016666666666666
Union St,York St,14.178333333333335
Union St,High St,19.221666666666668
Union St,President St,16.073333333333334
Union St,Woodlawn,111.17833333333333
Union St,Bleecker St,39.975
Union St,Cortelyou Rd,23.148333333333333
Union St,Parkchester,84.44666666666667
Union St,Franklin St,45.005
Pelham Pkwy,Astor Pl,90.38166666666666
Pelham Pkwy,Canal St,97.72833333333332
Pelham Pkwy,Bergen St,102.42166666666667
Pelham Pkwy,Freeman St,26.228333333333335
Pelham Pkwy,Junction Blvd,92.635
Pelham Pkwy,Chauncey St,117.78500000000001
Pelham Pkwy,Union St,102.83666666666666
Pelham Pkwy,Gun Hill Rd,7.943333333333333
Pelham Pkwy,Simpson St,28.43
Pelham Pkwy,Bronx Park East,11.163333333333332
Pelham Pkwy,Winthrop St,116.87166666666667
Pelham Pkwy,Kingsbridge Rd,22.305
Pelham Pkwy,Prospect Park,115.03500000000001
Pelham Pkwy,Broadway,70.20666666666666
Pelham Pkwy,Lorimer St,97.64333333333335
Pelham Pkwy,Halsey St,108.48166666666665
Pelham Pkwy,Park Pl,104.11999999999999
Pelham Pkwy,Middletown Rd,17.709999999999997
Pelham Pkwy,Court Sq,76.855
Pelham Pkwy,Houston St,95.99
Pelham Pkwy,Broad Channel,162.645
Pelham Pkwy,Ocean Pkwy,145.96166666666667
Pelham Pkwy,Rockaway Blvd,128.36666666666667
Pelham Pkwy,Beverly Rd,120.22
Pelham Pkwy,Grand Army Plaza,100.29166666666667
Pelham Pkwy,Fulton St,103.76666666666667
Pelham Pkwy,Borough Hall,101.00833333333334
Pelham Pkwy,Aqueduct Racetrack,138.50166666666667
Pelham Pkwy,Morris Park,6.663333333333333
Pelham Pkwy,Nevins St,99.15
Pelham Pkwy,Sterling St,111.75166666666668
Pelham Pkwy,Hewes St,97.58166666666666
Pelham Pkwy,Grand St,93.51666666666667
Pelham Pkwy,Parsons Blvd,132.08
Pelham Pkwy,Pelham Bay Park,21.391666666666666
Pelham Pkwy,Woodhaven Blvd,121.19333333333334
Pelham Pkwy,Cleveland St,124.355
Pelham Pkwy,Junius St,126.53666666666666
Pelham Pkwy,Broadway Junction,120.49
Pelham Pkwy,Crescent St,119.48333333333333
Pelham Pkwy,Cypress Hills,117.845
Pelham Pkwy,Northern Blvd,78.06
Pelham Pkwy,Sutphin Blvd,129.74666666666667
Pelham Pkwy,Astoria Blvd,70.18666666666667
Pelham Pkwy,Fordham Rd,25.273333333333333
Pelham Pkwy,Bedford Park Blvd,19.191666666666666
Pelham Pkwy,Mosholu Pkwy,19.283333333333335
Pelham Pkwy,Botanic Garden,106.39
Pelham Pkwy,Dyckman St,39.11333333333334
Pelham Pkwy,Steinway St,76.21499999999999
Pelham Pkwy,Kosciuszko St,106.925
Pelham Pkwy,Jefferson St,105.03166666666667
Pelham Pkwy,Kings Hwy,131.87333333333333
Pelham Pkwy,Brighton Beach,148.14666666666665
Pelham Pkwy,Sheepshead Bay,147.63833333333332
Pelham Pkwy,Neck Rd,142.05666666666667
Pelham Pkwy,Chambers St,103.34833333333333
Pelham Pkwy,East Broadway,97.685
Pelham Pkwy,Court St,100.27
Pelham Pkwy,Carroll St,105.57333333333332
Pelham Pkwy,Spring St,94.54833333333333
Pelham Pkwy,Prince St,93.21000000000001
Pelham Pkwy,Hoyt St,97.595
Pelham Pkwy,City Hall,101.44166666666666
Pelham Pkwy,South Ferry,148.23999999999998
Pelham Pkwy,Bowling Green,99.90666666666667
Pelham Pkwy,Wall St,100.08500000000001
Pelham Pkwy,Whitehall St,97.51
Pelham Pkwy,Rector St,105.18333333333334
Pelham Pkwy,Fresh Pond Rd,107.35166666666667
Pelham Pkwy,Broad St,107.97166666666666
Pelham Pkwy,Bowery,93.73666666666666
Pelham Pkwy,Clark St,96.865
Pelham Pkwy,York St,94.15833333333333
Pelham Pkwy,High St,102.25500000000001
Pelham Pkwy,President St,108.445
Pelham Pkwy,Woodlawn,23.03166666666667
Pelham Pkwy,Bleecker St,92.70333333333333
Pelham Pkwy,Cortelyou Rd,118.21666666666667
Pelham Pkwy,Parkchester,22.028333333333332
Pelham Pkwy,Franklin St,100.85666666666665
Gun Hill Rd,Astor Pl,95.24499999999999
Gun Hill Rd,Canal St,102.59166666666667
Gun Hill Rd,Bergen St,107.28500000000001
Gun Hill Rd,Freeman St,32.04666666666667
Gun Hill Rd,Junction Blvd,97.49833333333332
Gun Hill Rd,Chauncey St,122.64833333333333
Gun Hill Rd,Union St,107.7
Gun Hill Rd,Pelham Pkwy,7.673333333333333
Gun Hill Rd,Simpson St,34.248333333333335
Gun Hill Rd,Bronx Park East,16.981666666666666
Gun Hill Rd,Winthrop St,121.735
Gun Hill Rd,Kingsbridge Rd,24.743333333333332
Gun Hill Rd,Prospect Park,119.89833333333333
Gun Hill Rd,Broadway,75.07
Gun Hill Rd,Lorimer St,102.50666666666666
Gun Hill Rd,Halsey St,113.345
Gun Hill Rd,Park Pl,108.98333333333333
Gun Hill Rd,Middletown Rd,18.666666666666668
Gun Hill Rd,Court Sq,81.71833333333333
Gun Hill Rd,Houston St,100.85333333333332
Gun Hill Rd,Broad Channel,167.50833333333333
Gun Hill Rd,Ocean Pkwy,150.825
Gun Hill Rd,Rockaway Blvd,133.23
Gun Hill Rd,Beverly Rd,125.08333333333333
Gun Hill Rd,Grand Army Plaza,105.155
